FEMA Properties at Risk 2020 (total),"FS 100 year Risk Change, 2020-2050 (pct)","FS 100 year Risk Change, 2020-2050 (total)",FS 2020 100 Year Risk (pct),FS 2020 100 Year Risk (total),FS 2020 500 Year Risk (pct),FS 2020 500 Year Risk (total),FS 2035 100 Year Risk (pct),FS 2035 100 Year Risk (total),FS 2035 500 Year Risk (pct),FS 2035 500 Year Risk (total),FS 2050 100 Year Risk (pct),FS 2050 100 Year Risk (total),FS 2050 500 Year Risk (pct),FS 2050 500 Year Risk (total),"FS 500Risk Change, 2020-2050 (pct)","FS 500Risk Change, 2020-2050 (total)","FS-FEMA Difference, 2020 (pct)","FS-FEMA Difference, 2020 (total)",Known Adaptation Protections,Latitude,Longitude,"Properties at >99% Chance of Flooding, 2020-2050",Total Properties,Total Properties Protected by Adaptation,locationName,state_iso2,tot
24944,0.6,392,9.8,62585,13.0,82725,9.8,62781,13.0,83056,9.9,62977,13.1,83387,0.8,662,150.9,37641,111,43.969515,-99.901813,17720,637767,17396,South Dakota,sd,
21775,6.9,7826,8.4,113061,14.9,200499,8.7,116974,15.3,205693,9.0,120887,15.6,210887,5.2,10388,419.2,91286,38,39.32098,-111.093731,6647,1348375,14645,Utah,ut,
29841,4.7,5710,14.2,122579,20.4,175291,14.6,125434,20.7,178546,14.9,128289,21.1,181802,3.7,6511,310.8,92738,83,46.879682,-110.362566,25975,860879,10577,Montana,mt,
157928,1.8,5161,8.8,280239,11.1,350228,8.9,282820,11.1,352548,9.0,285400,11.2,354869,1.3,4641,77.4,122311,372,37.964253,-91.831833,96664,3166873,116632,Missouri,mo,
96807,3.2,7316,11.4,227003,14.2,282682,11.6,230661,14.4,286495,11.8,234319,14.6,290308,2.7,7626,134.5,130196,44,37.839333,-84.270018,94731,1986799,119039,Kentucky,ky,
76831,1.6,3523,7.3,215595,10.8,318467,7.4,217356,10.9,320387,7.4,219118,10.9,322307,1.2,3840,180.6,138764,148,46.729553,-94.6859,42975,2945926,26169,Minnesota,mn,
124089,4.5,14126,6.7,315568,10.9,516760,6.8,322631,11.1,524284,7.0,329694,11.2,531809,2.9,15049,154.3,191479,77,44.314844,-85.602364,51710,4729336,29626,Michigan,mi,
107395,-1.6,-2653,7.6,168869,10.0,221938,7.6,167542,10.0,222380,7.5,166216,10.1,222822,0.4,884,57.2,61474,263,35.007752,-97.092877,49792,2216775,78423,Oklahoma,ok,
168977,4.4,12479,8.1,282546,12.2,428618,8.2,288786,12.4,434730,8.4,295025,12.6,440842,2.9,12224,67.2,113569,128,40.551217,-85.602364,73129,3507643,104939,Indiana,in,
43332,2.4,3185,5.7,131245,8.5,195945,5.8,132838,8.6,198192,5.9,134430,8.7,200438,2.3,4493,202.9,87913,46,39.550051,-105.782067,16881,2296237,15908,Colorado,co,
152723,0.0,-56,12.1,294023,16.1,389775,12.1,293995,16.1,389908,12.1,293967,16.1,390041,0.1,266,92.5,141300,184,41.878003,-93.097702,101029,2423036,53222,Iowa,ia,
134228,1.5,4864,24.4,326639,28.1,376702,24.6,329071,28.3,379178,24.7,331503,28.5,381653,1.3,4951,143.3,192411,29,38.597626,-80.454903,174320,1339505,33698,West Virginia,wv,
8287,5.7,2010,10.5,35235,17.5,58789,10.8,36240,17.9,60012,11.1,37245,18.2,61234,4.2,2445,325.2,26948,34,43.075968,-107.290284,4049,335963,14985,Wyoming,wy,
30277,2.4,1330,9.1,56396,13.8,85655,9.2,57061,13.9,86394,9.3,57726,14.0,87134,1.7,1479,86.3,26119,222,47.551493,-101.002012,12450,622576,47688,North Dakota,nd,
98221,0.8,962,8.1,121147,13.9,208656,8.1,121628,14.1,210692,8.1,122109,14.2,212729,2.0,4073,23.3,22926,207,34.97273,-105.032363,19253,1498880,145335,New Mexico,nm,
152904,1.7,3347,10.1,191610,12.8,243588,10.2,193284,12.9,245549,10.3,194957,13.0,247510,1.6,3922,25.3,38706,112,35.20105,-91.831833,79409,1901520,129478,Arkansas,ar,
41301,6.1,2742,3.7,44597,10.5,126888,3.8,45968,10.7,129558,3.9,47339,10.9,132228,4.2,5340,8.0,3296,17,38.80261,-116.419389,989,1209363,132827,Nevada,nv,
79455,0.9,1209,8.1,133441,11.9,195644,8.2,134046,12.0,196796,8.2,134650,12.1,197949,1.2,2305,67.9,53986,395,39.011902,-98.484246,29894,1639277,178597,Kansas,ks,
74366,-0.3,-301,9.1,102440,13.1,148378,9.0,102290,13.2,148852,9.0,102139,13.2,149327,0.6,949,37.8,28074,152,41.492537,-99.901813,23650,1130316,38611,Nebraska,ne,
129491,1.6,1919,3.7,118667,11.2,360007,3.7,119626,11.2,360402,3.7,120586,11.2,360797,0.2,790,-8.4,-10824,182,34.048928,-111.093731,24703,3220332,761867,Arizona,az,
38047,7.7,11492,14.8,148427,23.0,230847,15.3,154173,23.6,237247,15.9,159919,24.3,243647,5.5,12800,290.1,110380,147,44.068202,-114.742041,33954,1004471,18646,Idaho,id,
219885,5.4,26671,8.0,493012,11.1,682338,8.2,506348,11.3,695403,8.5,519683,11.5,708468,3.8,26130,124.2,273127,299,40.417287,-82.907123,142350,6145266,78433,Ohio,oh,299.0
205709,4.4,20100,8.7,451693,14.1,727807,8.9,461743,14.3,737762,9.1,471793,14.5,747718,2.7,19911,119.6,245984,538,40.633125,-89.398528,89703,5163739,1110552,Illinois,il,
144008,2.8,7705,8.1,273377,11.3,381884,8.2,277230,11.4,385812,8.3,281082,11.6,389741,2.1,7857,89.8,129369,42,43.78444,-88.787868,71143,3374119,3559,Wisconsin,wi,
101363,3.2,12448,11.7,383176,14.7,482532,11.9,389400,14.9,488627,12.1,395624,15.1,494722,2.5,12190,278.0,281813,41,35.517491,-86.580447,135511,3280056,20006,Tennessee,tn,
