fsid,name,state_name,state_fsid,properties,lsad,longitude,latitude
3900142,Aberdeen,Ohio,39,1085,47,-83.7702682621,38.6711312365
3900198,Ada,Ohio,39,2151,47,-83.8252418871,40.7679843588
3900436,Addyston,Ohio,39,947,47,-84.7102945417,39.1369956149
3900450,Adelphi,Ohio,39,256,47,-82.7456326248,39.4646265816
3900464,Adena,Ohio,39,719,47,-80.8762096976,40.2166633701
3900142,Aberdeen,Ohio,39,1085,47,-83.7702682621,38.6711312365
3900198,Ada,Ohio,39,2151,47,-83.8252418871,40.7679843588
3900436,Addyston,Ohio,39,947,47,-84.7102945417,39.1369956149
3900450,Adelphi,Ohio,39,256,47,-82.7456326248,39.4646265816
3900464,Adena,Ohio,39,719,47,-80.8762096976,40.2166633701
3901000,Akron,Ohio,39,95247,25,-81.5219194246,41.0801445446
3901042,Albany,Ohio,39,788,47,-82.1976928023,39.2244301874
3901154,Alexandria,Ohio,39,250,47,-82.6119636124,40.090025893
3901210,Alger,Ohio,39,617,47,-83.8440305586,40.7094391637
3901420,Alliance,Ohio,39,11417,25,-81.1189162342,40.9107159371
3901588,Alvordton,Ohio,39,273,57,-84.4346788027,41.6646674893
3901630,Amanda,Ohio,39,429,47,-82.742152907,39.6501626997
3901672,Amberley,Ohio,39,1990,47,-84.4283228206,39.203321885
3901742,Amelia,Ohio,39,2173,47,-84.2183219245,39.0228892704
3901784,Amesville,Ohio,39,232,47,-81.9549569159,39.4014869595
3901798,Amherst,Ohio,39,6520,25,-82.2303462581,41.4022451607
3901938,Amsterdam,Ohio,39,419,47,-80.9216882336,40.471733497
3902022,Andersonville,Ohio,39,381,57,-83.0189612592,39.4338979638
3902050,Andover,Ohio,39,684,47,-80.5686863544,41.6065505523
3902092,Anna,Ohio,39,876,47,-84.1759014136,40.3957944122
3902120,Ansonia,Ohio,39,544,47,-84.6343978644,40.2141145299
3902204,Antwerp,Ohio,39,12,47,-84.7377580569,41.1797807412
3902232,Apple Creek,Ohio,39,641,47,-81.8334454941,40.7487078721
3902266,Apple Valley,Ohio,39,6820,57,-82.3481179362,40.4388743548
3902274,Aquilla,Ohio,39,969,47,-81.1730641453,41.5465227109
3902316,Arcadia,Ohio,39,429,47,-83.5146172275,41.1079094505
3902330,Arcanum,Ohio,39,1142,47,-84.5543227112,39.9923083935
3902344,Archbold,Ohio,39,2154,47,-84.3034818889,41.5160696329
3902400,Arlington,Ohio,39,735,47,-83.6529536281,40.8938837297
3902428,Arlington Heights,Ohio,39,585,47,-84.4555027109,39.2151835294
3902568,Ashland,Ohio,39,9859,25,-82.3156548389,40.8668689662
3902582,Ashley,Ohio,39,545,47,-82.9516526941,40.4098054311
3902638,Ashtabula,Ohio,39,10983,25,-80.798365308,41.880479403
3902680,Ashville,Ohio,39,1689,47,-82.957497418,39.7238891383
3902722,Athalia,Ohio,39,349,47,-82.3095555096,38.5127012216
3902736,Athens,Ohio,39,7461,25,-82.0988999333,39.3268157121
3902820,Attica,Ohio,39,591,47,-82.8871418678,41.0634765633
3902848,Atwater,Ohio,39,518,57,-81.1622023456,41.0265630417
3903086,Aurora,Ohio,39,6509,25,-81.3450138915,41.3118500761
3903142,Austinburg,Ohio,39,254,57,-80.8556041131,41.7691687802
3903184,Austintown,Ohio,39,13506,57,-80.7404759013,41.0932129473
3903352,Avon,Ohio,39,10783,25,-82.0187395206,41.4485234653
3903464,Avon Lake,Ohio,39,13585,25,-82.0160749025,41.4945027443
3903562,Bailey Lakes,Ohio,39,295,47,-82.3569662522,40.9489956843
3903585,Bainbridge,Ohio,39,1789,57,-81.3365506496,41.3944474728
3903604,Bainbridge,Ohio,39,665,47,-83.2695616882,39.2264638135
3903646,Bairdstown,Ohio,39,225,47,-83.6072888088,41.171184289
3903716,Ballville,Ohio,39,1610,57,-83.1367187178,41.326948726
3903744,Baltic,Ohio,39,460,47,-81.701556581,40.4436883928
3903758,Baltimore,Ohio,39,1494,47,-82.6046898464,39.8459100959
3903786,Bannock,Ohio,39,152,57,-80.9755591506,40.1042590648
3903828,Barberton,Ohio,39,13808,25,-81.603658608,41.0095736444
3903926,Barnesville,Ohio,39,3062,47,-81.172752085,39.9887839016
3903940,Barnhill,Ohio,39,239,47,-81.3679074946,40.4496626073
3904094,Bascom,Ohio,39,265,57,-83.2869252124,41.1290420874
3904150,Batavia,Ohio,39,1287,47,-84.1718587063,39.0814979615
3904192,Batesville,Ohio,39,144,47,-81.2823633454,39.9156093505
3904402,Bay View,Ohio,39,817,47,-82.8249695105,41.4684169474
3904416,Bay Village,Ohio,39,6883,25,-81.9285327653,41.4885572432
3904458,Beach City,Ohio,39,616,47,-81.5797316511,40.6531315795
3904500,Beachwood,Ohio,39,4167,25,-81.5029659129,41.4758603992
3904542,Beallsville,Ohio,39,384,47,-81.0353906845,39.8488690676
3904696,Beaver,Ohio,39,308,47,-82.8252540591,39.0319220919
3904720,Beavercreek,Ohio,39,19105,25,-84.0623817661,39.730969564
3904752,Beaverdam,Ohio,39,228,47,-83.9737883073,40.8327996697
3904840,Beckett Ridge,Ohio,39,3772,57,-84.43803976,39.3448042329
3904878,Bedford,Ohio,39,5985,25,-81.5358975781,41.3918571862
3904920,Bedford Heights,Ohio,39,4053,25,-81.5053181951,41.4041354796
3905013,Beechwood Trails,Ohio,39,1281,57,-82.6462965214,40.0251280421
3905074,Bellaire,Ohio,39,3642,47,-80.7470520944,40.0169284217
3905102,Bellbrook,Ohio,39,3087,25,-84.0862880067,39.6383509773
3905116,Belle Center,Ohio,39,503,47,-83.7453396443,40.5088860073
3905130,Bellefontaine,Ohio,39,6363,25,-83.7629962474,40.3627130189
3905158,Belle Valley,Ohio,39,445,47,-81.5565315516,39.7888190005
3905228,Bellevue,Ohio,39,4186,25,-82.8393425629,41.2742774215
3905284,Bellville,Ohio,39,1204,47,-82.5237060146,40.6291579619
3905312,Belmont,Ohio,39,492,47,-81.0409328685,40.0279794124
3905410,Beloit,Ohio,39,507,47,-80.9963383219,40.9195384534
3905424,Belpre,Ohio,39,4522,25,-81.5970473761,39.2814278522
3905550,Bentleyville,Ohio,39,393,47,-81.4120840855,41.4121763376
3905662,Benton Ridge,Ohio,39,182,47,-83.7926643922,41.0042358385
3905676,Bentonville,Ohio,39,225,57,-83.6102669085,38.7455185184
3905690,Berea,Ohio,39,7741,25,-81.8642827927,41.3696702676
3905718,Bergholz,Ohio,39,579,47,-80.8850568945,40.5207960433
3905732,Berkey,Ohio,39,232,47,-83.8383917873,41.7083466428
3905816,Berlin,Ohio,39,663,57,-81.8011413747,40.5627328538
3905900,Berlin Heights,Ohio,39,414,47,-82.4904199062,41.320431462
3906068,Bethel,Ohio,39,1714,47,-84.0846564103,38.9627131384
3906138,Bethesda,Ohio,39,992,47,-81.0727623761,40.016408874
3906194,Bettsville,Ohio,39,480,47,-83.233872476,41.2440549765
3906222,Beverly,Ohio,39,1237,47,-81.6362013453,39.5499846519
3906278,Bexley,Ohio,39,4701,25,-82.9342440799,39.9650233379
3906670,Blacklick Estates,Ohio,39,3177,57,-82.8654862725,39.9049020017
3906740,Bladensburg,Ohio,39,145,57,-82.2836551762,40.2852094256
3906810,Blakeslee,Ohio,39,137,47,-84.7310869211,41.5242258812
3906908,Blanchester,Ohio,39,2369,47,-83.9798310655,39.2933363876
3907062,Bloomdale,Ohio,39,537,47,-83.55343654,41.1715710529
3907202,Bloomingdale,Ohio,39,146,47,-80.8178503104,40.3422279491
3907286,Bloomville,Ohio,39,652,47,-83.0136683859,41.0513732386
3907300,Blue Ash,Ohio,39,8016,25,-84.3824781976,39.2478321912
3907377,Blue Jay,Ohio,39,858,57,-84.7441324765,39.2308242545
3907426,Bluffton,Ohio,39,1735,47,-83.8886176433,40.8912384665
3907454,Boardman,Ohio,39,16030,57,-80.6670774235,41.0333537741
3907583,Bolindale,Ohio,39,1695,57,-80.7781137389,41.2088349888
3907594,Bolivar,Ohio,39,652,47,-81.4555144458,40.6505802706
3907790,Boston Heights,Ohio,39,901,47,-81.5087464782,41.2536209434
3907832,Botkins,Ohio,39,828,47,-84.178147439,40.4585390299
3907888,Bourneville,Ohio,39,174,57,-83.1596105879,39.2828557543
3907916,Bowerston,Ohio,39,327,47,-81.187386891,40.427261941
3907930,Bowersville,Ohio,39,248,47,-83.7233256855,39.580786785
3907972,Bowling Green,Ohio,39,9633,25,-83.6500141324,41.3772858626
3908084,Bradford,Ohio,39,1139,47,-84.4292735149,40.1318197797
3908112,Bradner,Ohio,39,823,47,-83.4363158438,41.3236722271
3908168,Brady Lake,Ohio,39,624,47,-81.3141935546,41.1623163405
3908336,Bratenahl,Ohio,39,951,47,-81.6056550896,41.5559981956
3908364,Brecksville,Ohio,39,6273,25,-81.6193276653,41.3079359844
3908378,Brecon,Ohio,39,252,57,-84.3524357135,39.2797589859
3908392,Bremen,Ohio,39,777,47,-82.4295519791,39.7060807576
3908504,Brewster,Ohio,39,1477,47,-81.5989006892,40.7134785211
3908532,Brice,Ohio,39,89,47,-82.8318209036,39.9173598574
3908560,Bridgeport,Ohio,39,1780,47,-80.7476156992,40.0670790103
3908602,Bridgetown,Ohio,39,7017,57,-84.6359068137,39.1551249407
3908812,Brilliant,Ohio,39,1101,57,-80.6319312623,40.2701616963
3908826,Brimfield,Ohio,39,1494,57,-81.3482402392,41.0941375664
3909064,Broadview Heights,Ohio,39,8767,25,-81.6781771113,41.3195265547
3909200,Brookfield Center,Ohio,39,769,57,-80.5557698636,41.2386157673
3909246,Brooklyn,Ohio,39,4251,25,-81.7497939674,41.4348660347
3909274,Brooklyn Heights,Ohio,39,890,47,-81.6679900991,41.4178095206
3909288,Brook Park,Ohio,39,8543,25,-81.821746528,41.4036695356
3909316,Brookside,Ohio,39,403,47,-80.7606116319,40.0708294175
3909358,Brookville,Ohio,39,2969,25,-84.4175584888,39.8392768165
3909596,Brownsville,Ohio,39,168,57,-82.2516558967,39.9437155341
3909680,Brunswick,Ohio,39,13728,25,-81.8197471537,41.2465018218
3909792,Bryan,Ohio,39,4388,25,-84.54887719,41.4710988262
3909834,Buchtel,Ohio,39,716,47,-82.1810563186,39.4633750742
3909890,Buckeye Lake,Ohio,39,1514,47,-82.4825893179,39.9354823816
3909974,Buckland,Ohio,39,148,47,-84.2603929153,40.6240159122
3910030,Bucyrus,Ohio,39,7598,25,-82.9719163972,40.8053404006
3910128,Buffalo,Ohio,39,553,57,-81.5204181461,39.9168615135
3910156,Buford,Ohio,39,233,57,-83.8392662938,39.0719880661
3910254,Burbank,Ohio,39,223,47,-81.9946901592,40.9863665245
3910282,Burgoon,Ohio,39,188,47,-83.2507433371,41.267413627
3910296,Burkettsville,Ohio,39,182,47,-84.6425149074,40.3530590572
3910352,Burlington,Ohio,39,1995,57,-82.5283883576,38.410002064
3910436,Burton,Ohio,39,605,47,-81.1455881465,41.4707638478
3910632,Butler,Ohio,39,742,47,-82.4211523977,40.589590292
3910674,Butlerville,Ohio,39,125,47,-84.0903744171,39.3016180922
3910716,Byesville,Ohio,39,1719,47,-81.5458132497,39.9733236404
3910800,Cadiz,Ohio,39,2362,47,-80.9980311696,40.2643798659
3910884,Cairo,Ohio,39,303,47,-84.0846914972,40.8305050787
3910926,Calcutta,Ohio,39,2356,57,-80.562391579,40.6847090908
3910940,Caldwell,Ohio,39,1171,47,-81.5127872391,39.7468317648
3910954,Caledonia,Ohio,39,347,47,-82.9693914281,40.6363109067
3910996,Cambridge,Ohio,39,8051,25,-81.5867492943,40.0221790578
3911024,Camden,Ohio,39,976,47,-84.6446065554,39.6373102244
3911066,Campbell,Ohio,39,6449,25,-80.5903226861,41.0777097945
3911150,Camp Dennison,Ohio,39,411,57,-84.2893753722,39.1964055953
3911304,Canal Fulton,Ohio,39,2419,25,-81.5886990496,40.8896452794
3911318,Canal Lewisville,Ohio,39,281,57,-81.840231966,40.2989474666
3911332,Canal Winchester,Ohio,39,3783,25,-82.8121441621,39.8431997375
3911334,Candlewood Lake,Ohio,39,2908,57,-82.776383646,40.6214260571
3911360,Canfield,Ohio,39,3517,25,-80.7671315219,41.0314325275
3912000,Canton,Ohio,39,39838,25,-81.3677597454,40.8075732142
3912056,Carbon Hill,Ohio,39,217,57,-82.2425616268,39.5020610403
3912084,Cardington,Ohio,39,1239,47,-82.8936498086,40.4979839945
3912112,Carey,Ohio,39,2186,47,-83.3826896487,40.9498841505
3912168,Carlisle,Ohio,39,2756,47,-84.3200644198,39.5807292999
3912252,Carroll,Ohio,39,304,47,-82.703853486,39.7990697198
3912280,Carrollton,Ohio,39,2080,47,-81.0900490614,40.5803622136
3912462,Casstown,Ohio,39,139,47,-84.1285132591,40.0527673999
3912476,Castalia,Ohio,39,528,47,-82.8080589896,41.4009877726
3912504,Castine,Ohio,39,71,47,-84.6247177425,39.9310425502
3912700,Cecil,Ohio,39,20,47,-84.6017399387,41.2190785203
3912784,Cedarville,Ohio,39,899,47,-83.8108141005,39.7469640517
3912868,Celina,Ohio,39,4866,25,-84.5628012294,40.5551306341
3913036,Centerburg,Ohio,39,854,47,-82.6975040257,40.3034983613
3913169,Centerville,Ohio,39,101,47,-82.4457749916,38.897874028
3913190,Centerville,Ohio,39,10892,25,-84.1449250402,39.6338920226
3913358,Chagrin Falls,Ohio,39,2135,47,-81.3886838966,41.4319927445
3913484,Champion Heights,Ohio,39,3311,57,-80.8513800694,41.3031090335
3913554,Chardon,Ohio,39,2585,25,-81.2081257747,41.5802530221
3913694,Chatfield,Ohio,39,216,47,-82.9413682318,40.9518256888
3913778,Chauncey,Ohio,39,778,47,-82.1260521474,39.4005231383
3913834,Cherry Fork,Ohio,39,122,57,-83.612551065,38.88715422
3913848,Cherry Grove,Ohio,39,1718,57,-84.3219679283,39.0802280904
3913904,Chesapeake,Ohio,39,978,47,-82.4487142601,38.4298164424
3913932,Cheshire,Ohio,39,311,47,-82.1130102443,38.9504091951
3914086,Chesterhill,Ohio,39,371,47,-81.8667140554,39.4907194153
3914100,Chesterland,Ohio,39,1271,57,-81.3362913265,41.5212589462
3914114,Chesterville,Ohio,39,199,47,-82.6817601689,40.4776949995
3914128,Cheviot,Ohio,39,4037,25,-84.6138219519,39.1577420035
3914156,Chickasaw,Ohio,39,312,47,-84.4936375102,40.4365898756
3914184,Chillicothe,Ohio,39,12174,25,-82.9936874178,39.3393216798
3914226,Chilo,Ohio,39,240,47,-84.1373188585,38.7933981083
3914254,Chippewa Lake,Ohio,39,685,47,-81.9046829116,41.0737045869
3914280,Chippewa Park,Ohio,39,2305,57,-83.8875252811,40.5160366442
3914288,Choctaw Lake,Ohio,39,844,57,-83.4877438731,39.9607818564
3914296,Christiansburg,Ohio,39,373,47,-84.0255355105,40.0567472735
3914324,Churchill,Ohio,39,2122,57,-80.66597612,41.1691831771
3915000,Cincinnati,Ohio,39,163759,25,-84.5059743104,39.1411633528
3915008,Cinnamon Lake,Ohio,39,1789,57,-82.191344984,40.9835087642
3915070,Circleville,Ohio,39,5770,25,-82.9334493745,39.6061399376
3915210,Clarington,Ohio,39,459,47,-80.8647753653,39.7763214514
3915336,Clarksburg,Ohio,39,296,47,-83.1540809,39.5058983201
3915406,Clarksville,Ohio,39,360,47,-83.9828279717,39.4016463055
3915434,Clarktown,Ohio,39,753,57,-82.9085362091,38.8497961616
3915588,Clay Center,Ohio,39,204,47,-83.3642872305,41.5732267797
3915644,Clayton,Ohio,39,6314,25,-84.3291704181,39.8689148555
3916000,Cleveland,Ohio,39,170702,25,-81.6802294933,41.4792632806
3916014,Cleveland Heights,Ohio,39,16849,25,-81.5635743025,41.5112376315
3916028,Cleves,Ohio,39,1856,47,-84.746363851,39.1632565409
3916056,Clifton,Ohio,39,162,47,-83.8257486416,39.7971288361
3916182,Clinton,Ohio,39,918,47,-81.6305540028,40.9283849557
3916266,Cloverdale,Ohio,39,196,47,-84.3036729406,41.0192470695
3916308,Clyde,Ohio,39,2976,25,-82.9781462902,41.304490523
3916378,Coal Grove,Ohio,39,1882,47,-82.6423191916,38.4976200624
3916434,Coalton,Ohio,39,572,47,-82.6108110676,39.1117567245
3916521,Coldstream,Ohio,39,840,57,-84.347350064,39.0479871156
3916532,Coldwater,Ohio,39,2180,47,-84.631669611,40.4833004382
3916700,College Corner,Ohio,39,243,47,-84.8108708098,39.5682633491
3916784,Collins,Ohio,39,502,57,-82.4914793667,41.2508315335
3917036,Columbiana,Ohio,39,4271,25,-80.6749037167,40.8870979594
3918000,Columbus,Ohio,39,275876,25,-82.9851257753,39.9860265796
3918014,Columbus Grove,Ohio,39,1425,47,-84.0594601463,40.9190327041
3918070,Commercial Point,Ohio,39,946,47,-83.0621292774,39.7723675198
3918244,Concorde Hills,Ohio,39,281,57,-84.3570830248,39.2106242546
3918266,Conesville,Ohio,39,251,47,-81.8917884839,40.1849973326
3918308,Congress,Ohio,39,146,47,-82.0558579832,40.9251808325
3918350,Conneaut,Ohio,39,8432,25,-80.5685300732,41.9277873847
3918420,Connorville,Ohio,39,133,57,-80.7176064385,40.1937018702
3918504,Continental,Ohio,39,914,47,-84.2692261559,41.0997068853
3918546,Convoy,Ohio,39,599,47,-84.7052877637,40.9179050984
3918588,Coolville,Ohio,39,493,47,-81.7978087556,39.2201372459
3918770,Corning,Ohio,39,795,47,-82.0875665737,39.6016714787
3918812,Cortland,Ohio,39,2895,25,-80.7191880547,41.331794758
3918840,Corwin,Ohio,39,293,47,-84.0677369622,39.5248493507
3918868,Coshocton,Ohio,39,6814,25,-81.8479214462,40.2618438969
3919008,Covedale,Ohio,39,3206,57,-84.6361423039,39.1266478263
3919050,Covington,Ohio,39,1445,47,-84.3508666882,40.1173843469
3919106,Craig Beach,Ohio,39,1774,47,-80.9827196286,41.115989837
3919330,Crestline,Ohio,39,3042,47,-82.7455556549,40.7835608565
3919344,Creston,Ohio,39,1114,47,-81.9000175703,40.9763374903
3919400,Cridersville,Ohio,39,748,47,-84.145998532,40.6512390197
3919456,Crooksville,Ohio,39,1365,47,-82.0955425959,39.7691630356
3919554,Crown City,Ohio,39,351,47,-82.2911233354,38.5899646737
3919596,Crystal Lakes,Ohio,39,1194,57,-84.0242796883,39.886238413
3919694,Cumberland,Ohio,39,326,47,-81.6587225732,39.8532806701
3919736,Curtice,Ohio,39,870,57,-83.3742702107,41.6159110883
3919750,Custar,Ohio,39,252,47,-83.8438097037,41.2845958994
3919778,Cuyahoga Falls,Ohio,39,22375,25,-81.5206013451,41.1640865978
3919806,Cuyahoga Heights,Ohio,39,541,47,-81.6562143789,41.4350141507
3919820,Cygnet,Ohio,39,638,47,-83.6437437169,41.2406824982
3919974,Dalton,Ohio,39,1082,47,-81.7037798436,40.799210332
3920030,Damascus,Ohio,39,331,57,-80.9523461387,40.9042323659
3920114,Danville,Ohio,39,707,47,-82.2607176893,40.4470976319
3920198,Darbydale,Ohio,39,477,57,-83.1794731051,39.854470733
3920212,Darbyville,Ohio,39,150,47,-83.1138383016,39.6957230628
3920268,Darrtown,Ohio,39,348,57,-84.6690342832,39.4974747359
3920366,Day Heights,Ohio,39,1267,57,-84.2274644081,39.1754985059
3921000,Dayton,Ohio,39,88577,25,-84.199787041,39.7797632887
3921266,Deer Park,Ohio,39,3358,25,-84.3975008936,39.203704165
3921308,Defiance,Ohio,39,9571,25,-84.3659739587,41.2809567075
3921378,De Graff,Ohio,39,736,47,-83.9166533417,40.3126948591
3921434,Delaware,Ohio,39,14314,25,-83.0747246583,40.2866421965
3921518,Delhi Hills,Ohio,39,2234,57,-84.6176268708,39.0870896948
3921560,Dellroy,Ohio,39,302,47,-81.1992189539,40.5550330089
3921602,Delphos,Ohio,39,3267,25,-84.3368336633,40.8479948326
3921610,Delshire,Ohio,39,1133,57,-84.5949619348,39.0884946491
3921616,Delta,Ohio,39,1462,47,-84.0050279529,41.5752923824
3921714,Dennison,Ohio,39,1596,47,-81.3273716933,40.3972080729
3921742,Dent,Ohio,39,5635,57,-84.6593006449,39.1921920398
3921784,Derby,Ohio,39,255,57,-83.206807728,39.7640188906
3921812,Deshler,Ohio,39,984,47,-83.9055477978,41.2074491117
3921868,Devola,Ohio,39,2215,57,-81.4679857513,39.4739129842
3921910,Dexter City,Ohio,39,157,47,-81.4738808705,39.6592656168
3922008,Dillonvale,Ohio,39,1675,57,-84.4030374331,39.2172304317
3922022,Dillonvale,Ohio,39,631,47,-80.7756594607,40.198532072
3922260,Dola,Ohio,39,203,57,-83.6989324665,40.7847696937
3922288,Donnelsville,Ohio,39,167,47,-83.9431989242,39.9159345558
3922456,Dover,Ohio,39,6207,25,-81.4805579181,40.5303165403
3922568,Doylestown,Ohio,39,1590,47,-81.695719585,40.9698526582
3922610,Dresden,Ohio,39,972,47,-82.0130444839,40.121985866
3922624,Drexel,Ohio,39,2272,57,-84.2930337086,39.738161537
3922660,Dry Ridge,Ohio,39,1746,57,-84.6338695283,39.2587263091
3922674,Dry Run,Ohio,39,3028,57,-84.3307584901,39.1047358126
3922694,Dublin,Ohio,39,17664,25,-83.1452237442,40.111165801
3922820,Duncan Falls,Ohio,39,779,57,-81.911200285,39.8777249051
3922848,Dundee,Ohio,39,191,57,-81.6069405985,40.5868149447
3922946,Dunkirk,Ohio,39,786,47,-83.6429787144,40.7879716829
3922960,Dunlap,Ohio,39,1102,57,-84.6302462577,39.2908113275
