fsid,count
3900142,419
3900198,44
3900436,209
3900450,7
3900464,356
3901000,4308
3901042,28
3901154,15
3901210,32
3901420,287
3901588,12
3901630,28
3901672,72
3901742,42
3901784,161
3901798,285
3901938,142
3902022,15
3902050,47
3902092,42
3902120,30
3902232,71
3902266,378
3902274,59
3902316,107
3902330,34
3902344,97
3902400,93
3902428,184
3902568,575
3902582,1
3902638,518
3902680,20
3902722,320
3902736,3251
3902820,13
3902848,24
3903086,315
3903142,20
3903184,297
3903352,984
3903464,386
3903562,20
3903585,38
3903604,158
3903646,56
3903716,116
3903744,149
3903758,123
3903786,7
3903828,1396
3903926,79
3903940,85
3904094,16
3904150,81
3904192,3
3904416,146
3904458,31
3904500,139
3904542,4
3904696,16
3904720,739
3904752,4
3904840,99
3904878,147
3904920,153
3905013,33
3905074,1604
3905102,203
3905116,74
3905130,334
3905158,228
3905228,1046
3905284,119
3905312,7
3905410,30
3905424,2063
3905550,49
3905662,6
3905676,20
3905690,146
3905718,105
3905732,25
3905816,6
3905900,17
3906068,160
3906138,45
3906194,367
3906222,244
3906278,117
3906670,439
3906740,25
3906810,6
3906908,166
3907062,43
3907202,2
3907286,33
3907300,303
3907377,33
3907426,148
3907454,394
3907583,21
3907594,21
3907790,28
3907832,53
3907888,27
3907916,94
3907930,8
3907972,311
3908084,120
3908112,2
3908168,33
3908336,19
3908364,343
3908378,27
3908392,116
3908504,98
3908532,4
3908560,711
3908602,330
3908812,272
3908826,53
3909064,220
3909200,12
3909246,114
3909274,43
3909288,379
3909316,217
3909358,116
3909596,9
3909680,262
3909792,129
3909834,209
3909890,102
3909974,1
3910030,663
3910128,40
3910156,43
3910254,25
3910282,38
3910296,8
3910352,1541
3910436,8
3910632,179
3910674,20
3910716,158
3910800,94
3910884,21
3910926,185
3910940,75
3910954,12
3910996,659
3911024,90
3911066,73
3911150,45
3911304,116
3911318,33
3911332,96
3911334,99
3911360,87
3912000,3059
3912056,23
3912084,68
3912112,201
3912168,572
3912252,25
3912280,75
3912462,4
3912476,47
3912504,6
3912700,6
3912784,94
3912868,188
3913036,19
3913169,6
3913190,252
3913358,188
3913484,121
3913554,85
3913694,21
3913778,514
3913834,8
3913848,23
3913904,546
3913932,287
3914086,7
3914100,61
3914114,17
3914128,231
3914156,17
3914184,1295
3914226,238
3914254,81
3914280,47
3914288,26
3914296,13
3914324,100
3915000,16552
3915008,109
3915070,421
3915210,330
3915336,26
3915406,104
3915434,295
3915588,4
3915644,341
3916000,6609
3916014,373
3916028,227
3916056,18
3916182,76
3916266,6
3916308,209
3916378,733
3916434,189
3916521,102
3916532,34
3916700,48
3916784,26
3917036,162
3918000,10609
3918014,326
3918070,50
3918244,10
3918266,35
3918308,20
3918350,369
3918420,78
3918504,3
3918546,28
3918588,33
3918770,215
3918812,126
3918840,10
3918868,852
3919008,185
3919050,130
3919106,12
3919330,308
3919344,40
3919400,29
3919456,196
3919554,104
3919596,81
3919694,40
3919736,93
3919750,7
3919778,677
3919806,51
3919820,55
3919974,55
3920030,10
3920114,112
3920198,31
3920212,20
3920268,20
3920366,22
3921000,5527
3921266,37
3921308,2790
3921378,22
3921434,693
3921518,88
3921560,30
3921602,194
3921610,33
3921616,98
3921714,185
3921742,172
3921784,5
3921812,190
3921868,642
3921910,23
3922008,55
3922022,470
3922260,6
3922288,13
3922456,840
3922568,21
3922610,178
3922624,69
3922660,67
3922674,140
3922694,638
3922820,160
3922848,5
3922946,13
3922960,79
3922974,8
3923324,47
3923380,672
3923534,38
3923618,864
3923702,26
3923730,1694
3923940,398
3924024,14
3924052,92
3924066,1
3924234,157
3924262,18
3924486,35
3924542,228
3924598,16
3924640,49
3924766,1
3924794,1
3924808,35
3924850,43
3925144,39
3925186,555
3925256,898
3925368,324
3925396,117
3925452,123
3925676,6
3925704,407
3925802,243
3925914,397
3925942,160
3925970,626
3926110,76
3926166,126
3926306,169
3926348,3
3926446,101
3926656,24
3926768,39
3926796,12
3927048,1705
3927104,259
3927303,27
3927356,15
3927412,100
3927538,168
3927552,29
3927636,69
3927706,127
3927776,229
3927818,12
3927832,69
3927902,153
3927930,4
3927944,144
3928014,1862
3928058,40
3928182,52
3928476,502
3928532,1194
3928574,57
3928616,120
3928658,97
3928798,24
3928826,456
3928882,26
3928896,55
3928966,66
3929050,2
3929106,504
3929148,51
3929162,453
3929204,2038
3929246,23
3929288,43
3929428,502
3929442,137
3929498,115
3929610,242
3929652,133
3929722,230
3929778,122
3929932,228
3929974,14
3930072,36
3930114,41
3930198,195
3930282,37
3930352,160
3930380,37
3930436,31
3930506,129
3930520,91
3930632,46
3930660,25
3930674,778
3930702,87
3930786,42
3930828,4
3930996,38
3931150,85
3931206,210
3931234,72
3931262,218
3931304,764
3931402,198
3931434,33
3931458,7
3931472,21
3931860,523
3931948,50
3932088,91
3932158,33
3932207,35
3932256,43
3932298,52
3932340,183
3932368,103
3932536,109
3932592,364
3932606,147
3932956,113
3932984,7
3933012,1702
3933096,222
3933194,367
3933222,210
3933292,78
3933306,140
3933362,129
3933656,9
3933740,23
3933838,339
3934118,67
3934202,12
3934328,76
3934384,8
3934412,7
3934552,1
3934594,16
3934636,3
3934748,382
3934790,161
3934888,55
3935028,113
3935098,192
3935126,159
3935168,217
3935210,6
3935252,68
3935255,7
3935256,17
3935322,63
3935476,217
3935532,15
3935560,98
3935613,12
3935658,6
3935826,168
3935854,105
3935864,2
3935866,51
3935868,100
3935882,226
3935896,1
3935924,319
3935994,17
3936176,41
3936232,57
3936260,54
3936512,4
3936557,53
3936568,10
3936582,123
3936610,502
3936624,47
3936651,279
3936806,22
3936918,41
3936988,57
3937016,248
3937142,34
3937240,298
3937422,272
3937464,1437
3937604,7
3937842,815
3938220,73
3938304,154
3938374,99
3938500,61
3938920,95
3938948,19
3939060,12
3939074,37
3939130,7
3939172,319
3939340,86
3939508,83
3939536,50
3939564,252
3939662,20
3939872,301
3939886,575
3939914,134
3940040,973
3940054,3
3940096,31
3940124,5
3940180,102
3940264,15
3940348,9
3940376,5
3940507,42
3940544,12
3940558,7
3940572,12
3940642,159
3940670,33
3941090,10
3941118,22
3941146,10
3941188,93
3941230,75
3941349,42
3941363,23
3941373,38
3941398,17
3941419,46
3941440,104
3941443,62
3941454,261
3941500,55
3941597,61
3941608,149
3941657,158
3941664,172
3941720,2815
3941755,41
3941860,149
3941902,175
3942028,8
3942084,124
3942308,479
3942364,259
3942476,52
3942518,14
3942560,161
3942602,128
3942938,27
3942966,2
3942980,24
3942994,147
3943414,63
3943554,436
3943596,14
3943722,54
3943792,119
3943904,83
3944030,172
3944086,60
3944128,46
3944310,43
3944352,14
3944366,407
3944604,100
3944632,730
3944636,27
3944674,211
3944856,1322
3944912,144
3944954,117
3945066,282
3945094,220
3945108,472
3945122,377
3945164,422
3945178,42
3945220,101
3945276,73
3945304,173
3945332,2
3945374,3
3945542,46
3945556,145
3945626,14
3945696,73
3945794,25
3945808,18
3945822,423
3945892,37
3945906,44
3945934,33
3945976,210
3946046,126
3946088,192
3946144,89
3946158,58
3946312,211
3946480,127
3946830,16
3946844,94
3946872,19
3946942,61
3946970,314
3946998,177
3947012,184
3947138,1401
3947180,69
3947306,321
3947362,56
3947445,18
3947474,15
3947502,1
3947600,15
3947628,5882
3947754,539
3947922,6
3947950,69
3947992,27
3948048,7
3948104,1269
3948118,4
3948160,262
3948188,420
3948244,1310
3948272,134
3948286,539
3948342,324
3948468,22
3948482,42
3948706,19
3948790,312
3948972,2
3949000,25
3949042,2
3949056,810
3949098,40
3949238,53
3949294,15
3949420,63
3949434,1027
3949462,74
3949504,8
3949644,175
3949700,57
3949728,44
3949756,1991
3949840,1713
3949896,107
3949966,163
3950036,22
3950134,29
3950176,375
3950218,34
3950260,352
3950358,32
3950372,216
3950400,22
3950456,71
3950540,130
3950708,5
3950764,95
3950778,39
3950834,457
3950862,17
3950876,38
3950904,395
3950918,43
3950974,1
3951058,111
3951212,207
3951310,161
3951618,64
3951674,69
3951716,394
3951772,120
3951816,215
3952010,624
3952052,77
3952178,65
3952276,25
3952374,180
3952416,291
3952598,19
3952612,51
3952668,18
3952738,87
3952752,85
3952780,97
3952906,111
3952976,0
3953032,53
3953046,44
3953102,861
3953144,32
3953186,13
3953270,22
3953312,132
3953410,231
3953480,8
3953550,622
3953690,58
3953718,14
3953788,286
3953802,61
3953816,14
3953886,1023
3953914,127
3953942,42
3953956,377
3953970,170
3954012,32
3954040,1803
3954068,14
3954082,26
3954110,3
3954166,547
3954194,127
3954250,29
3954264,89
3954320,34
3954334,61
3954432,359
3954446,14
3954562,336
3954628,3
3954684,29
3954698,6
3954726,53
3954838,102
3954852,30
3954866,576
3954908,330
3954978,37
3955062,14
3955104,798
3955118,22
3955188,91
3955216,811
3955244,23
3955314,40
3955342,141
3955384,1651
3955398,5
3955650,137
3955664,11
3955678,656
3955748,70
3955776,31
3955790,99
3955818,4
3955874,26
3955916,176
3956154,73
3956182,115
3956280,121
3956294,406
3956322,288
3956420,31
3956448,19
3956553,68
3956588,4
3956700,169
3956756,17
3956770,64
3956812,1082
3956882,339
3956910,20
3956924,32
3956938,42
3956966,741
3956994,0
3957008,432
3957064,9
3957190,146
3957218,56
3957260,375
3957302,335
3957386,414
3957582,603
3957596,162
3957750,67
3957764,52
3957792,56
3957834,165
3957862,115
3957876,30
3957918,3
3958002,29
3958149,17
3958156,3
3958226,14
3958422,198
3958520,206
3958604,25
3958674,7
3958730,527
3958828,221
3958856,20
3958912,10
3958940,29
3958982,161
3959010,62
3959052,71
3959066,58
3959220,29
3959234,149
3959416,475
3959598,5
3959724,6
3959738,70
3959920,38
3959934,6
3961000,922
3961028,123
3961056,15
3961112,331
3961182,5
3961252,81
3961322,36
3961420,33
3961504,172
3961574,71
3961686,171
3961882,50
3962134,227
3962148,427
3962190,43
3962344,3
3962404,33
3962414,2
3962442,44
3962498,322
3962578,16
3962708,49
3962834,70
3962848,1102
3962890,5
3963030,87
3963044,4
3963072,73
3963436,34
3963478,35
3963534,5
3963548,7
3963576,2
3963604,30
3963618,15
3963716,8
3963758,1
3963800,48
3963954,30
3963996,2
3964024,1925
3964108,8
3964136,335
3964150,265
3964262,75
3964304,2241
3964346,37
3964360,15
3964430,2
3964472,290
3964486,167
3964542,899
3964766,579
3964780,312
3964906,2
3965032,34
3965116,216
3965200,18
3965256,305
3965298,4
3965508,62
3965592,280
3965634,15
3965662,273
3965676,7
3965732,738
3966152,153
3966180,28
3966222,66
3966250,407
3966320,15
3966390,278
3966530,58
3966824,11
3966880,22
3966894,41
3966922,33
3966936,84
3967104,39
3967118,45
3967258,48
3967272,786
3967314,29
3967356,287
3967440,4
3967468,851
3967600,82
3967664,35
3967762,11
3967804,79
3967846,29
3967874,19
3968004,14
3968042,1
3968056,239
3968084,32
3968196,5
3968448,60
3968546,397
3968560,47
3968602,635
3968672,2
3968686,197
3968714,39
3968742,108
3968938,117
3969176,12
3969302,38
3969316,9
3969344,44
3969358,283
3969400,89
3969470,289
3969526,139
3969540,79
3969596,24
3969652,14
3969666,12
3969680,182
3969708,126
3969834,200
3970050,48
3970072,36
3970100,303
3970380,794
3970464,7
3970520,3
3970534,11
3970548,106
3970576,5
3970618,53
3970814,102
3970912,108
3971080,58
3971206,18
3971220,166
3971360,40
3971416,136
3971444,28
3971486,136
3971640,1027
3971682,219
3971892,393
3971958,148
3971962,105
3971976,91
3971983,60
3972060,148
3972088,122
3972102,285
3972242,154
3972256,47
3972258,59
3972298,12
3972396,72
3972424,481
3972494,104
3972522,123
3972578,36
3972620,21
3972648,17
3972760,6
3972788,66
3972928,350
3972977,8
3972998,80
3973040,40
3973068,41
3973118,138
3973124,18
3973264,285
3973446,242
3973670,649
3973684,73
3973698,6
3973796,4
3973824,45
3973894,101
3973950,0
3973992,9
3974034,235
3974076,197
3974104,84
3974118,1379
3974216,91
3974566,33
3974608,1107
3974622,121
3974734,20
3974748,62
3974804,107
3974832,60
3974846,16
3974916,29
3974944,1048
3974958,236
3975000,225
3975014,259
3975098,459
3975126,144
3975140,56
3975196,3
3975210,129
3975252,29
3975392,17
3975406,10
3975434,22
3975574,6
3975602,108
3975896,162
3975980,33
3976022,228
3976050,349
3976106,240
3976148,28
3976197,301
3976428,93
3976568,97
3976582,304
3976666,110
3976680,6
3976764,14
3976778,1422
3976806,967
3976834,15
3976876,171
3976890,17
3976932,38
3977000,5924
3977070,20
3977112,1207
3977308,16
3977322,291
3977406,282
3977434,18
3977504,419
3977588,1035
3977812,9
3977840,133
3977924,75
3978050,339
3978176,319
3978470,91
3978624,11
3978736,120
3978834,4
3978848,13
3978932,174
3979002,256
3979044,247
3979072,895
3979100,43
3979114,124
3979184,49
3979226,54
3979268,487
3979282,22
3979394,8
3979492,198
3979534,23
3979562,561
3979590,13
3979716,674
3979898,2
3979912,56
3979982,8
3980066,11
3980150,19
3980178,127
3980304,254
3980402,38
3980458,36
3980486,546
3980500,67
3980612,13
3980738,70
3980766,437
3980892,1148
3980990,205
3981032,96
3981718,419
3981732,33
3981760,79
3981858,326
3981928,89
3981935,325
3982334,4
3982348,63
3982376,141
3982390,20
3982418,48
3982642,148
3982712,237
3982740,1329
3982880,38
3983090,740
3983216,7
3983342,478
3983384,17
3983468,25
3983541,47
3983580,119
3983608,82
3983622,457
3983706,7
3983734,122
3983804,9
3983818,32
3983888,5
3983902,87
3983930,21
3983972,35
3984140,273
3984182,3
3984196,36
3984294,38
3984308,57
3984528,23
3984574,4
3984588,552
3984742,121
3984770,109
3984812,506
3984882,87
3985036,167
3985085,14
3985092,35
3985190,10
3985232,151
3985288,109
3985344,20
3985414,19
3985442,36
3985484,523
3985512,371
3985638,127
3985736,31
3985792,378
3985806,18
3985834,5
3985876,31
3985946,28
3986072,3
3986184,104
3986254,91
3986282,370
3986366,155
3986394,18
3986436,56
3986478,11
3986492,58
3986548,463
3986604,196
3986632,26
3986730,279
3986772,599
3986940,40
3987164,2
3987178,675
3988000,1670
3988028,33
3988070,25
3988084,2934
3988168,30
